  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.4308   0.16303   0.16097  -0.0232   1.0000   0.0176
 -14.900  -0.4269   0.16208   0.16002  -0.0234   1.0000   0.0177
 -14.800  -0.4232   0.16112   0.15905  -0.0237   1.0000   0.0177
 -14.700  -0.4196   0.16014   0.15808  -0.0240   1.0000   0.0178
 -14.600  -0.4163   0.15911   0.15705  -0.0244   1.0000   0.0179
 -14.500  -0.4130   0.15807   0.15601  -0.0248   1.0000   0.0179
 -14.400  -0.4097   0.15700   0.15494  -0.0253   1.0000   0.0180
 -14.300  -0.4066   0.15591   0.15384  -0.0257   1.0000   0.0181
 -14.200  -0.4036   0.15477   0.15272  -0.0262   1.0000   0.0183
 -14.100  -0.4007   0.15361   0.15155  -0.0267   1.0000   0.0184
 -14.000  -0.3979   0.15242   0.15036  -0.0272   1.0000   0.0185
 -13.900  -0.3952   0.15118   0.14912  -0.0277   1.0000   0.0187
 -13.800  -0.3927   0.14990   0.14785  -0.0282   1.0000   0.0189
 -13.700  -0.3903   0.14859   0.14654  -0.0287   1.0000   0.0191
 -13.600  -0.3881   0.14721   0.14516  -0.0293   1.0000   0.0194
 -13.500  -0.3864   0.14564   0.14360  -0.0300   1.0000   0.0199
 -13.300  -0.6143   0.08710   0.08492  -0.0540   1.0000   0.0174
 -13.200  -0.7741   0.05796   0.05552  -0.0736   1.0000   0.0167
 -13.100  -0.8154   0.04944   0.04691  -0.0799   1.0000   0.0165
 -13.000  -0.8649   0.03952   0.03679  -0.0893   1.0000   0.0162
 -12.900  -0.8884   0.03837   0.03560  -0.0868   1.0000   0.0161
 -12.800  -0.9019   0.03717   0.03434  -0.0852   1.0000   0.0161
 -12.700  -0.9115   0.03617   0.03329  -0.0837   1.0000   0.0161
 -12.600  -0.9113   0.03483   0.03187  -0.0843   0.9994   0.0162
 -12.500  -0.9041   0.03343   0.03037  -0.0860   0.9984   0.0163
 -12.400  -0.8960   0.03223   0.02907  -0.0875   0.9973   0.0164
 -12.300  -0.8872   0.03115   0.02789  -0.0888   0.9964   0.0165
 -12.200  -0.8779   0.03014   0.02679  -0.0900   0.9955   0.0166
 -12.100  -0.8681   0.02922   0.02578  -0.0911   0.9948   0.0168
 -12.000  -0.8577   0.02838   0.02484  -0.0922   0.9942   0.0169
 -11.900  -0.8479   0.02763   0.02401  -0.0930   0.9934   0.0170
 -11.800  -0.8384   0.02699   0.02329  -0.0935   0.9922   0.0171
 -11.700  -0.8281   0.02642   0.02264  -0.0941   0.9911   0.0172
 -11.600  -0.8171   0.02593   0.02208  -0.0947   0.9901   0.0173
 -11.500  -0.8055   0.02552   0.02160  -0.0954   0.9892   0.0174
 -11.400  -0.7994   0.02385   0.01978  -0.0962   0.9879   0.0177
 -11.300  -0.7890   0.02308   0.01896  -0.0970   0.9871   0.0179
 -11.200  -0.7772   0.02259   0.01844  -0.0977   0.9864   0.0181
 -11.100  -0.7648   0.02220   0.01802  -0.0984   0.9858   0.0183
 -11.000  -0.7523   0.02183   0.01763  -0.0991   0.9853   0.0185
 -10.900  -0.7395   0.02147   0.01723  -0.0998   0.9849   0.0187
 -10.800  -0.7267   0.02110   0.01683  -0.1006   0.9845   0.0188
 -10.700  -0.7136   0.02075   0.01644  -0.1013   0.9841   0.0190
 -10.600  -0.7006   0.02038   0.01603  -0.1021   0.9837   0.0192
 -10.500  -0.6874   0.02001   0.01561  -0.1028   0.9834   0.0194
 -10.400  -0.6788   0.01969   0.01525  -0.1026   0.9812   0.0196
 -10.300  -0.6677   0.01934   0.01485  -0.1029   0.9798   0.0198
 -10.200  -0.6557   0.01900   0.01446  -0.1033   0.9788   0.0200
 -10.100  -0.6433   0.01867   0.01408  -0.1038   0.9779   0.0203
 -10.000  -0.6305   0.01836   0.01371  -0.1044   0.9772   0.0205
  -9.900  -0.6174   0.01807   0.01337  -0.1050   0.9765   0.0206
  -9.800  -0.6042   0.01781   0.01306  -0.1056   0.9758   0.0208
  -9.700  -0.5922   0.01732   0.01251  -0.1061   0.9750   0.0210
  -9.600  -0.5809   0.01665   0.01179  -0.1067   0.9742   0.0214
  -9.500  -0.5683   0.01628   0.01140  -0.1072   0.9734   0.0217
  -9.400  -0.5554   0.01601   0.01112  -0.1078   0.9727   0.0219
  -9.300  -0.5424   0.01578   0.01087  -0.1083   0.9720   0.0222
  -9.200  -0.5294   0.01556   0.01064  -0.1088   0.9713   0.0225
  -9.100  -0.5195   0.01539   0.01044  -0.1086   0.9693   0.0228
  -9.000  -0.5096   0.01522   0.01025  -0.1084   0.9669   0.0231
  -8.900  -0.4986   0.01503   0.01003  -0.1085   0.9651   0.0234
  -8.800  -0.4870   0.01484   0.00982  -0.1086   0.9634   0.0237
  -8.700  -0.4753   0.01465   0.00958  -0.1088   0.9618   0.0240
  -8.600  -0.4635   0.01448   0.00938  -0.1090   0.9603   0.0244
  -8.500  -0.4517   0.01431   0.00918  -0.1091   0.9587   0.0246
  -8.400  -0.4399   0.01410   0.00892  -0.1093   0.9572   0.0248
  -8.300  -0.4326   0.01362   0.00842  -0.1087   0.9536   0.0253
  -8.200  -0.4231   0.01335   0.00814  -0.1084   0.9507   0.0257
  -8.100  -0.4127   0.01316   0.00793  -0.1083   0.9481   0.0260
  -8.000  -0.4021   0.01299   0.00775  -0.1082   0.9459   0.0264
  -7.900  -0.3910   0.01284   0.00757  -0.1082   0.9439   0.0268
  -7.800  -0.3801   0.01269   0.00740  -0.1081   0.9419   0.0272
  -7.700  -0.3702   0.01255   0.00725  -0.1079   0.9390   0.0276
  -7.600  -0.3599   0.01241   0.00709  -0.1077   0.9362   0.0280
  -7.500  -0.3493   0.01228   0.00692  -0.1076   0.9337   0.0284
  -7.400  -0.3385   0.01215   0.00676  -0.1075   0.9314   0.0287
  -7.300  -0.3274   0.01205   0.00663  -0.1074   0.9294   0.0291
  -7.200  -0.3172   0.01174   0.00629  -0.1073   0.9273   0.0297
  -7.100  -0.3071   0.01153   0.00607  -0.1072   0.9246   0.0304
  -7.000  -0.2966   0.01140   0.00594  -0.1070   0.9218   0.0309
  -6.900  -0.2859   0.01129   0.00582  -0.1069   0.9192   0.0315
  -6.800  -0.2751   0.01118   0.00570  -0.1068   0.9167   0.0320
  -6.700  -0.2641   0.01108   0.00557  -0.1068   0.9143   0.0327
  -6.600  -0.2530   0.01097   0.00543  -0.1067   0.9122   0.0332
  -6.500  -0.2421   0.01087   0.00531  -0.1067   0.9097   0.0337
  -6.400  -0.2312   0.01080   0.00521  -0.1066   0.9067   0.0341
  -6.300  -0.2210   0.01053   0.00493  -0.1064   0.9037   0.0351
  -6.200  -0.2103   0.01037   0.00477  -0.1063   0.9008   0.0359
  -6.100  -0.1994   0.01026   0.00465  -0.1063   0.8982   0.0366
  -6.000  -0.1883   0.01018   0.00454  -0.1062   0.8956   0.0374
  -5.900  -0.1773   0.01010   0.00445  -0.1061   0.8925   0.0383
  -5.800  -0.1664   0.01002   0.00436  -0.1061   0.8892   0.0391
  -5.700  -0.1553   0.00996   0.00427  -0.1060   0.8860   0.0398
  -5.600  -0.1446   0.00979   0.00407  -0.1059   0.8829   0.0409
  -5.500  -0.1337   0.00965   0.00393  -0.1058   0.8801   0.0422
  -5.400  -0.1226   0.00957   0.00384  -0.1058   0.8771   0.0432
  -5.300  -0.1116   0.00949   0.00376  -0.1058   0.8737   0.0443
  -5.200  -0.1005   0.00942   0.00367  -0.1057   0.8704   0.0453
  -5.100  -0.0893   0.00936   0.00359  -0.1057   0.8672   0.0462
  -5.000  -0.0784   0.00925   0.00345  -0.1056   0.8642   0.0476
  -4.900  -0.0674   0.00913   0.00333  -0.1055   0.8609   0.0493
  -4.800  -0.0564   0.00905   0.00326  -0.1055   0.8572   0.0509
  -4.700  -0.0452   0.00899   0.00319  -0.1054   0.8535   0.0524
  -4.600  -0.0341   0.00895   0.00311  -0.1054   0.8500   0.0537
  -4.500  -0.0230   0.00888   0.00301  -0.1053   0.8467   0.0552
  -4.400  -0.0120   0.00875   0.00291  -0.1053   0.8428   0.0576
  -4.300  -0.0010   0.00868   0.00284  -0.1052   0.8388   0.0596
  -4.200   0.0102   0.00864   0.00277  -0.1052   0.8350   0.0615
  -4.100   0.0214   0.00861   0.00271  -0.1051   0.8315   0.0631
  -4.000   0.0324   0.00850   0.00261  -0.1051   0.8278   0.0661
  -3.900   0.0435   0.00843   0.00255  -0.1051   0.8237   0.0690
  -3.800   0.0546   0.00839   0.00249  -0.1050   0.8196   0.0716
  -3.700   0.0658   0.00837   0.00244  -0.1050   0.8157   0.0735
  -3.600   0.0768   0.00827   0.00236  -0.1049   0.8116   0.0774
  -3.500   0.0880   0.00821   0.00230  -0.1049   0.8072   0.0808
  -3.400   0.0991   0.00818   0.00225  -0.1049   0.8028   0.0840
  -3.200   0.1213   0.00807   0.00215  -0.1048   0.7944   0.0922
  -3.100   0.1324   0.00803   0.00210  -0.1048   0.7899   0.0962
  -3.000   0.1435   0.00800   0.00205  -0.1047   0.7854   0.1002
  -2.900   0.1545   0.00794   0.00200  -0.1046   0.7812   0.1057
  -2.800   0.1657   0.00790   0.00197  -0.1046   0.7765   0.1106
  -2.700   0.1768   0.00786   0.00193  -0.1046   0.7716   0.1159
  -2.600   0.1877   0.00783   0.00189  -0.1045   0.7670   0.1221
  -2.400   0.2100   0.00775   0.00183  -0.1045   0.7573   0.1344
  -2.300   0.2210   0.00773   0.00180  -0.1044   0.7525   0.1408
  -2.200   0.2321   0.00769   0.00176  -0.1044   0.7479   0.1480
  -2.100   0.2432   0.00766   0.00174  -0.1044   0.7427   0.1556
  -2.000   0.2542   0.00763   0.00171  -0.1043   0.7377   0.1630
  -1.900   0.2652   0.00761   0.00169  -0.1042   0.7328   0.1712
  -1.800   0.2763   0.00758   0.00167  -0.1042   0.7275   0.1795
  -1.700   0.2873   0.00756   0.00166  -0.1042   0.7222   0.1885
  -1.600   0.2982   0.00754   0.00164  -0.1041   0.7172   0.1975
  -1.500   0.3094   0.00751   0.00162  -0.1041   0.7120   0.2067
  -1.400   0.3204   0.00748   0.00161  -0.1041   0.7065   0.2173
  -1.300   0.3312   0.00748   0.00160  -0.1040   0.7014   0.2272
  -1.200   0.3424   0.00744   0.00159  -0.1040   0.6962   0.2384
  -1.100   0.3534   0.00742   0.00158  -0.1039   0.6905   0.2496
  -0.900   0.3753   0.00739   0.00157  -0.1038   0.6799   0.2741
  -0.800   0.3863   0.00736   0.00157  -0.1038   0.6743   0.2873
  -0.600   0.4081   0.00732   0.00156  -0.1037   0.6637   0.3169
  -0.500   0.4190   0.00729   0.00156  -0.1037   0.6581   0.3330
  -0.400   0.4297   0.00728   0.00156  -0.1036   0.6528   0.3512
  -0.300   0.4407   0.00723   0.00157  -0.1036   0.6475   0.3728
  -0.200   0.4515   0.00716   0.00157  -0.1035   0.6419   0.4007
  -0.100   0.4618   0.00708   0.00158  -0.1034   0.6367   0.4424
  -0.000   0.4724   0.00695   0.00160  -0.1034   0.6317   0.4994
   0.100   0.4827   0.00682   0.00162  -0.1033   0.6262   0.5585
   0.200   0.4928   0.00673   0.00165  -0.1031   0.6211   0.6106
   0.300   0.5031   0.00662   0.00168  -0.1029   0.6162   0.6616
   0.400   0.5130   0.00651   0.00171  -0.1026   0.6109   0.7119
   0.500   0.5223   0.00641   0.00174  -0.1022   0.6059   0.7642
   0.600   0.5312   0.00630   0.00178  -0.1016   0.6014   0.8167
   0.700   0.5392   0.00620   0.00182  -0.1007   0.5966   0.8704
   0.800   0.5472   0.00614   0.00186  -0.0998   0.5918   0.9218
   0.900   0.5626   0.00616   0.00187  -0.1006   0.5869   0.9632
   1.000   0.5815   0.00618   0.00188  -0.1023   0.5817   0.9858
   1.100   0.5997   0.00622   0.00189  -0.1038   0.5764   0.9982
   1.300   0.6220   0.00632   0.00192  -0.1038   0.5677   1.0000
   1.400   0.6326   0.00636   0.00193  -0.1037   0.5632   1.0000
   1.500   0.6430   0.00641   0.00195  -0.1035   0.5589   1.0000
   1.600   0.6533   0.00647   0.00198  -0.1033   0.5548   1.0000
   1.700   0.6641   0.00650   0.00199  -0.1033   0.5510   1.0000
   1.800   0.6748   0.00655   0.00201  -0.1031   0.5469   1.0000
   1.900   0.6853   0.00660   0.00204  -0.1030   0.5428   1.0000
   2.000   0.6956   0.00667   0.00207  -0.1028   0.5390   1.0000
   2.100   0.7066   0.00670   0.00209  -0.1028   0.5355   1.0000
   2.200   0.7174   0.00674   0.00212  -0.1027   0.5318   1.0000
   2.300   0.7280   0.00679   0.00214  -0.1026   0.5281   1.0000
   2.400   0.7385   0.00685   0.00218  -0.1024   0.5246   1.0000
   2.500   0.7492   0.00691   0.00221  -0.1023   0.5213   1.0000
   2.600   0.7601   0.00694   0.00223  -0.1023   0.5180   1.0000
