  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.4182   0.16822   0.16561  -0.0211   1.0000   0.0221
 -14.900  -0.4152   0.16701   0.16440  -0.0216   1.0000   0.0223
 -14.800  -0.4123   0.16576   0.16316  -0.0222   1.0000   0.0225
 -14.700  -0.4096   0.16449   0.16188  -0.0227   1.0000   0.0228
 -14.600  -0.4069   0.16317   0.16056  -0.0233   1.0000   0.0231
 -14.500  -0.4045   0.16179   0.15918  -0.0239   1.0000   0.0234
 -14.400  -0.4025   0.16022   0.15762  -0.0247   1.0000   0.0239
 -14.200  -0.4136   0.15455   0.15197  -0.0299   1.0000   0.0247
 -14.100  -0.4101   0.15292   0.15034  -0.0298   1.0000   0.0249
 -14.000  -0.4046   0.15191   0.14933  -0.0295   1.0000   0.0250
 -13.900  -0.3999   0.15094   0.14836  -0.0294   1.0000   0.0251
 -13.800  -0.3956   0.14998   0.14740  -0.0295   1.0000   0.0252
 -13.700  -0.3919   0.14899   0.14641  -0.0297   1.0000   0.0253
 -13.600  -0.3885   0.14795   0.14537  -0.0299   1.0000   0.0254
 -13.500  -0.3853   0.14688   0.14431  -0.0302   1.0000   0.0255
 -13.400  -0.3823   0.14579   0.14322  -0.0306   1.0000   0.0257
 -13.300  -0.3794   0.14466   0.14210  -0.0309   1.0000   0.0259
 -13.200  -0.3767   0.14351   0.14094  -0.0313   1.0000   0.0261
 -13.100  -0.3742   0.14231   0.13974  -0.0318   1.0000   0.0263
 -13.000  -0.3718   0.14107   0.13851  -0.0322   1.0000   0.0266
 -12.900  -0.3695   0.13978   0.13722  -0.0327   1.0000   0.0268
 -12.800  -0.3675   0.13844   0.13588  -0.0332   1.0000   0.0272
 -12.700  -0.3658   0.13700   0.13445  -0.0338   1.0000   0.0276
 -12.400  -0.3809   0.12864   0.12611  -0.0400   1.0000   0.0291
 -12.300  -0.3810   0.12672   0.12420  -0.0409   1.0000   0.0292
 -12.200  -0.3782   0.12542   0.12290  -0.0404   1.0000   0.0293
 -12.100  -0.3746   0.12447   0.12196  -0.0402   1.0000   0.0295
 -12.000  -0.3708   0.12359   0.12109  -0.0401   1.0000   0.0296
 -11.900  -0.3666   0.12275   0.12025  -0.0400   1.0000   0.0297
 -11.800  -0.3628   0.12188   0.11938  -0.0400   1.0000   0.0298
 -11.700  -0.3595   0.12097   0.11847  -0.0400   1.0000   0.0299
 -11.600  -0.3565   0.12002   0.11752  -0.0401   1.0000   0.0301
 -11.500  -0.3539   0.11902   0.11653  -0.0403   1.0000   0.0303
 -11.400  -0.3516   0.11800   0.11551  -0.0404   1.0000   0.0305
 -11.300  -0.3494   0.11696   0.11448  -0.0406   1.0000   0.0307
 -11.200  -0.3475   0.11589   0.11342  -0.0408   1.0000   0.0311
 -11.100  -0.3461   0.11475   0.11228  -0.0411   1.0000   0.0314
 -11.000  -0.3452   0.11352   0.11106  -0.0414   1.0000   0.0319
 -10.900  -0.3453   0.11213   0.10968  -0.0418   1.0000   0.0325
 -10.700  -0.7085   0.04123   0.03840  -0.0807   0.9955   0.0223
 -10.600  -0.7083   0.03724   0.03412  -0.0851   0.9933   0.0224
 -10.500  -0.7033   0.03531   0.03202  -0.0868   0.9911   0.0226
 -10.400  -0.6964   0.03361   0.03015  -0.0883   0.9893   0.0228
 -10.300  -0.6883   0.03207   0.02845  -0.0897   0.9878   0.0230
 -10.200  -0.6793   0.03064   0.02686  -0.0910   0.9865   0.0232
 -10.100  -0.6694   0.02933   0.02538  -0.0922   0.9855   0.0235
 -10.000  -0.6587   0.02813   0.02400  -0.0934   0.9846   0.0237
  -9.900  -0.6474   0.02705   0.02276  -0.0945   0.9839   0.0240
  -9.800  -0.6357   0.02613   0.02167  -0.0955   0.9832   0.0242
  -9.700  -0.6280   0.02545   0.02087  -0.0954   0.9806   0.0244
  -9.600  -0.6173   0.02484   0.02012  -0.0959   0.9790   0.0246
  -9.500  -0.6071   0.02386   0.01900  -0.0965   0.9775   0.0249
  -9.400  -0.5968   0.02278   0.01784  -0.0971   0.9763   0.0252
  -9.300  -0.5843   0.02227   0.01732  -0.0978   0.9754   0.0255
  -9.200  -0.5709   0.02192   0.01696  -0.0986   0.9747   0.0258
  -9.100  -0.5572   0.02163   0.01665  -0.0994   0.9740   0.0262
  -9.000  -0.5432   0.02134   0.01632  -0.1002   0.9734   0.0266
  -8.900  -0.5292   0.02099   0.01592  -0.1011   0.9728   0.0270
  -8.800  -0.5150   0.02063   0.01551  -0.1020   0.9723   0.0274
  -8.700  -0.5007   0.02021   0.01502  -0.1029   0.9719   0.0278
  -8.600  -0.4863   0.01979   0.01451  -0.1038   0.9715   0.0283
  -8.500  -0.4718   0.01937   0.01401  -0.1047   0.9711   0.0286
  -8.400  -0.4647   0.01910   0.01367  -0.1040   0.9675   0.0289
  -8.300  -0.4521   0.01883   0.01331  -0.1044   0.9659   0.0291
  -8.200  -0.4409   0.01791   0.01233  -0.1048   0.9646   0.0297
  -8.100  -0.4279   0.01748   0.01190  -0.1054   0.9634   0.0301
  -8.000  -0.4144   0.01719   0.01160  -0.1061   0.9623   0.0306
  -7.900  -0.4004   0.01692   0.01132  -0.1067   0.9613   0.0310
  -7.800  -0.3865   0.01665   0.01103  -0.1074   0.9603   0.0315
  -7.700  -0.3725   0.01639   0.01073  -0.1081   0.9593   0.0321
  -7.600  -0.3585   0.01612   0.01042  -0.1087   0.9583   0.0327
  -7.500  -0.3446   0.01589   0.01014  -0.1093   0.9574   0.0333
  -7.400  -0.3362   0.01573   0.00993  -0.1087   0.9538   0.0337
  -7.300  -0.3252   0.01560   0.00975  -0.1086   0.9512   0.0342
  -7.200  -0.3151   0.01498   0.00911  -0.1086   0.9490   0.0349
